cluster,weekday_mean,weekend_mean,weekday_minus_weekend_mean,weekday_peak_hour,weekend_peak_hour,max_abs_difference_hour,max_abs_difference_value
0,0.19203700895490727,0.198489777143371,-0.006452768188463698,10,10,12,-0.01542207062301118
1,0.019352832888335964,0.017802089721566633,0.0015507431667693323,10,10,16,0.004596996916977115
2,0.1015237718995436,0.10929321047812046,-0.0077694385785768575,10,10,17,-0.019620666113239343
3,0.23238376795087032,0.2693792583055821,-0.036995490354711814,5,5,6,-0.06562506407003121
