cluster,day_type,load_0,load_1,load_2,load_3,load_4,load_5,load_6,load_7,load_8,load_9,load_10,load_11,load_12,load_13,load_14,load_15,load_16,load_17,load_18,load_19,load_20,load_21,load_22,load_23
0,weekday,0.011858008306504717,0.01134891127401441,0.010546090687450358,0.010743341586942687,0.010897139859911113,0.012550723331050352,0.019329972821483944,0.021141353552004805,0.02450280495968931,0.025952724953669182,0.026415866661663078,0.025588868654747972,0.024326303790629552,0.025012908534987024,0.024505878149504775,0.024755768464480275,0.024863665084895358,0.02161757734688718,0.021324169872380432,0.020382439063897334,0.018752059082883295,0.017791419030753156,0.016596846280424647,0.013663147969208197
0,weekend,0.011893174699222612,0.011425036768890343,0.010568017901281973,0.010797190640771266,0.010939797046610368,0.012601610891780335,0.019519522364682632,0.02109891747989524,0.021569498163482328,0.022537809632948397,0.022906897678729964,0.02189996038005313,0.021165077475989794,0.020590609343201942,0.019920856286241007,0.020326329519425635,0.020266668167918243,0.020199633789594367,0.02093105455041593,0.019936080535988693,0.018452222563660504,0.01754530688126682,0.016465908007610282,0.01369297254793737
1,weekday,0.15671363842374578,0.15711637354901004,0.14132622840191547,0.1459852741531986,0.14497153426144546,0.13646504087144015,0.15216213138120663,0.16498569411568326,0.24294072184165327,0.35302728153012275,0.3557466661949065,0.3333554206362222,0.2995752017426583,0.3093569784251972,0.312550368030709,0.3209273499965685,0.27217461318225517,0.20890393240391034,0.18486834305840794,0.17384547859086197,0.1553042896579598,0.16224429887219763,0.15911139190036233,0.15464142530336572
1,weekend,0.16195818610690993,0.16222290981175416,0.145914767890766,0.1502817738941381,0.14481588281191024,0.1386287046336159,0.1535386953126343,0.1788923422224226,0.2628844092651217,0.37979169772578836,0.38723027705521235,0.35751823574101177,0.328912215115837,0.3346711877310493,0.33034426621340296,0.3290441126700045,0.27797900381292917,0.21534644558077454,0.1932219230902124,0.1819713005345984,0.16637732200551542,0.1715721013814085,0.1715514113596413,0.15593030929390844
2,weekday,0.03381670495534081,0.030053051968652163,0.01899299076022476,0.021066534554937358,0.018921308475942512,0.019462524388115687,0.04341398759984721,0.058285366724149155,0.1448213951645302,0.22705319671903845,0.24289785461852648,0.22752912346269832,0.19994881313405183,0.18420072054314127,0.18541240538554585,0.16380424991948642,0.13417763280077913,0.10490571180923722,0.09348454699825443,0.08241669211773985,0.05891903334609438,0.06474503675652078,0.059356494723773294,0.03436733942301259
2,weekend,0.03113490104064181,0.03138260126139535,0.01880042564051909,0.022134231061500344,0.022790890031118158,0.022771534866989483,0.04571714651439696,0.06612157682446346,0.13936884930685417,0.2280689929097803,0.25044550434724827,0.24563566975904202,0.21373390617326093,0.19394822463943162,0.20457467634292706,0.17897857095136105,0.14493441013381012,0.12314461525204211,0.10449368069130681,0.08693580240842012,0.06244262566087011,0.06503830104455746,0.05864666087389439,0.03942517208427274
3,weekday,0.166967097594006,0.1697022165656242,0.17072583996083443,0.17143572552919872,0.171836828699262,0.1734326347191206,0.17203166496470215,0.16277168043349038,0.16765869237630246,0.18547887830616377,0.19008564888392224,0.1968843473593473,0.19154713676475058,0.19178085474190468,0.1874361733275312,0.1772220662169766,0.16875759444198188,0.15146410236798297,0.14844891853814346,0.14980666620511462,0.15021414204854108,0.1521038315752576,0.15552359964224574,0.16183079378032228
3,weekend,0.16133410564946027,0.16458720696000131,0.16537467106578838,0.16520615964732777,0.16874707311510267,0.17068557531848164,0.17333538488434072,0.1656327487056049,0.16176226863270327,0.1687129765463805,0.1772614813775,0.18846813904782234,0.18743648005372543,0.18902233171156885,0.18246229923375692,0.1739537625600796,0.1612887265713938,0.1474988795552326,0.1487097733504452,0.1558322285768874,0.15478446248704392,0.15707176042930313,0.15994982077672432,0.16011346621020356
4,weekday,0.2832775680503898,0.2938401177826029,0.2989190228158957,0.30983596152752235,0.31623560908443127,0.32199664518894083,0.29362833533948574,0.28424160466191734,0.2573791988230313,0.20709764304563644,0.18929708924658598,0.17139810332576208,0.16297128728879262,0.1610133556216501,0.16295122558640085,0.16587261163361816,0.1702436498705137,0.18589160274327146,0.21219885952277576,0.22758081421250723,0.23934251480664087,0.244740725532548,0.2762019198511296,0.28569778928511264
4,weekend,0.33076886817020895,0.33948038092993604,0.3451518093115314,0.3509876637007337,0.360407164656058,0.3688323970123997,0.35142557323387474,0.3377257972239867,0.30183504425901614,0.23261676495257197,0.2111021380499596,0.1864518901024929,0.16660667605168247,0.16283992706193892,0.16663012184440743,0.17778139397347295,0.1930216584829642,0.21582617244180344,0.2515738987773963,0.26911026986744296,0.277858523809033,0.2807011630997019,0.2854643698010548,0.3009025325203033
