cluster,weekday_mean,weekend_mean,weekday_minus_weekend_mean,weekday_peak_hour,weekend_peak_hour,max_abs_difference_hour,max_abs_difference_value
0,0.019352832888335964,0.017802089721566633,0.0015507431667693323,10,10,16,0.004596996916977115
1,0.2165958198552085,0.2283583117191903,-0.011762491863981803,10,10,10,-0.03148361086030582
2,0.10216886318123501,0.10836120707583767,-0.00619234389460266,10,10,14,-0.01916227095738121
3,0.1702144639601136,0.16705132426945327,0.003163139690660352,11,13,9,0.016765901759783264
4,0.23841055228529842,0.2693792583055821,-0.030968706020283704,5,5,6,-0.05779723789438901
